# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16      102                       ULAS~J1120+0641  QSO_J1120+0641  J112001.48+064124.30   11:20:01.48   06:41:24.30    7.0842  -26.63
  Banados+16      103                 PSO~J172.1770+26.8866  QSO_J1128+2653  J112842.48+265312.00   11:28:42.48   26:53:12.00      5.77  -25.91
  Banados+16      104                            J1133+1603  QSO_J1133+1603  J113308.78+160355.70   11:33:08.78    16:03:55.7      5.61  -27.47
  Banados+16      105                            J1134+0828  QSO_J1134+0828  J113414.23+082853.30   11:34:14.23    08:28:53.3      5.69  -26.39
  Banados+16      106                       SDSS~J1137+3549  QSO_J1137+3549  J113717.73+354956.85   11:37:17.73   35:49:56.85      6.03  -27.36
  Banados+16      107                PSO~J174.7920--12.2845  QSO_J1139-1217  J113910.09-121704.38   11:39:10.09  -12:17:04.38      5.81  -26.49
  Banados+16      108                PSO~J175.4091--20.2654  QSO_J1141-2015  J114138.20-201555.65   11:41:38.20  -20:15:55.65      5.69  -26.32
  Banados+16      109                       SDSS~J1143+3808  QSO_J1143+3808  J114338.35+380828.82   11:43:38.35   38:08:28.82       5.8  -26.69
  Banados+16      110                       ULAS~J1148+0702  QSO_J1148+0702  J114803.29+070208.29   11:48:03.29   07:02:08.29     6.339  -26.49
  Banados+16      111                         RD~J1148+5253  QSO_J1148+5253  J114816.21+525339.30   11:48:16.21   52:53:39.30       5.7   -24.2
  Banados+16      112                       SDSS~J1148+5251  QSO_J1148+5251  J114816.65+525150.39   11:48:16.65   52:51:50.39    6.4189  -27.62
  Banados+16      113                        VIK~J1148+0056  QSO_J1148+0056  J114833.18+005642.26   11:48:33.18   00:56:42.26      5.84  -24.84
  Banados+16      114                            J1149+0748  QSO_J1149+0748  J114946.45+074850.60   11:49:46.45    07:48:50.6      5.66  -26.38
  Banados+16      115                        VIK~J1152+0055  QSO_J1152+0055  J115221.27+005536.69   11:52:21.27   00:55:36.69    6.3643  -25.36
  Banados+16      116                PSO~J178.5594--12.1881  QSO_J1154-1211  J115414.26-121117.48   11:54:14.26  -12:11:17.48      5.83   -26.1
  Banados+16      117                        HSC~J1201+0133  QSO_J1201+0133  J120103.02+013356.40   12:01:03.02    01:33:56.4      6.06   -23.9
  Banados+16      118                       HSC~J1202--0057  QSO_J1202-0057  J120246.37-005701.70   12:02:46.37  -00:57:01.70    5.9289  -22.88
  Banados+16      119    HSC~J1205--0000\,\tablenotemark{f}  QSO_J1205-0000  J120505.10-000027.97   12:05:05.10  -00:00:27.97      6.73  -24.98
  Banados+16      120                       ULAS~J1207+0630  QSO_J1207+0630  J120737.44+063010.24   12:07:37.44   06:30:10.24    6.0366  -26.63
  Banados+16      121    HSC~J1207--0005\,\tablenotemark{g}  QSO_J1207-0005  J120754.14-000553.30   12:07:54.14  -00:05:53.30      6.01  -22.82
  Banados+16      122                       HSC~J1208--0200  QSO_J1208-0200  J120859.23-020034.80   12:08:59.23   -02:00:34.8       6.2  -24.78
  Banados+16      123                 PSO~J183.1124+05.0926  QSO_J1212+0505  J121226.98+050533.49   12:12:26.98  +05:05:33.49    6.4386  -27.03
  Banados+16      124                PSO~J183.2991--12.7676  QSO_J1213-1246  J121311.81-124603.45   12:13:11.81  -12:46:03.45      5.86  -27.49
  Banados+16      125                        VIK~J1215+0023  QSO_J1215+0023  J121516.87+002324.66   12:15:16.87   00:23:24.66      5.93  -25.45
  Banados+16      126                 PSO~J184.3389+01.5284  QSO_J1217+0131  J121721.34+013142.47   12:17:21.34   01:31:42.47       6.2  -25.37
  Banados+16      127                PSO~J187.1047--02.5609  QSO_J1228-0233  J122825.15-023339.25   12:28:25.15  -02:33:39.25      5.77  -25.81
  Banados+16      128                 PSO~J187.3050+04.3243  QSO_J1229+0419  J122913.21+041927.75   12:29:13.21   04:19:27.75      5.89  -25.62
  Banados+16      129                       ULAS~J1243+2529  QSO_J1243+2529  J124340.81+252923.89   12:43:40.81   25:29:23.89      5.85  -26.09
  Banados+16      130                       SDSS~J1250+3130  QSO_J1250+3130  J125051.93+313021.90   12:50:51.93   31:30:21.90      6.15  -26.53
  Banados+16      131                 PSO~J194.1290+25.5476  QSO_J1256+2532  J125630.97+253251.45   12:56:30.97   25:32:51.45      5.91  -25.83
  Banados+16      132                       SDSS~J1257+6349  QSO_J1257+6349  J125757.48+634937.16   12:57:57.48   63:49:37.16      6.02  -26.27
  Banados+16      133                       SDSS~J1306+0356  QSO_J1306+0356  J130608.27+035626.36   13:06:08.27   03:56:26.36    6.0337  -26.81
  Banados+16      134                 PSO~J197.7198+25.5351  QSO_J1310+2532  J131052.75+253206.68   13:10:52.75   25:32:06.68      5.84   -26.0
  Banados+16      135                       ULAS~J1319+0950  QSO_J1319+0950  J131911.30+095051.52   13:19:11.30   09:50:51.52     6.133  -27.05
  Banados+16      136                 PSO~J201.9222+57.5440  QSO_J1327+5732  J132741.32+573238.37   13:27:41.32   57:32:38.37      5.74  -26.05
  Banados+16      137                       SDSS~J1335+3533  QSO_J1335+3533  J133550.81+353315.82   13:35:50.81   35:33:15.82    5.9012  -26.67
  Banados+16      138                            J1335-0328  QSO_J1335-0328  J133556.24-032838.20   13:35:56.24   -03:28:38.2      5.67  -27.74
  Banados+16      139                       ULAS~J1342+0928  QSO_J1342+0928  J134208.11+092838.61   13:42:08.11  +09:28:38.61    7.5413  -26.76
  Banados+16      140                PSO~J209.2058--26.7083  QSO_J1356-2642  J135649.41-264230.23   13:56:49.41  -26:42:30.23      5.72  -27.19
  Banados+16      141                 PSO~J210.4472+27.8263  QSO_J1401+2749  J140147.34+274935.03   14:01:47.34   27:49:35.03      6.14  -26.54
  Banados+16      142                 PSO~J210.7277+40.4008  QSO_J1402+4024  J140254.67+402403.19   14:02:54.67   40:24:03.19      6.04  -25.86
  Banados+16      143                 PSO~J210.8297+09.0474  QSO_J1403+0902  J140319.13+090250.99   14:03:19.13   09:02:50.99      5.88  -26.42
  Banados+16      144                PSO~J210.8722--12.0094  QSO_J1403-1200  J140329.33-120034.14   14:03:29.33  -12:00:34.14      5.84  -25.82
